r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   A   Z_eq   Z   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)  drho/dr (kg/m^4)   dn_e/dr (fm^{-3}/m)
11.5451   4.37651085e+32   1.38210771   1.36039323e+14   -0.656582289   1.54692311   0.0804931328   1520.1714   59.7841732   50.3332386   42.0358823   0.00266514688   0.0768882133   951.940085   -4.63615005e+14   -1.72725682e-05
11.5476   4.30392827e+32   1.38239301   1.34860378e+14   -0.6566213   1.54691455   0.0797983185   1655.95468   107.204156   54.8239357   46.3616451   0.0026418947   0.0742245017   951.760414   -4.79857805e+14   -9.53430938e-06
11.5501   4.23201123e+32   1.38267591   1.33640034e+14   -0.656660303   1.54690453   0.0790790555   1772.20245   150.980015   58.6589733   50.070078   0.00261747533   0.0719587862   951.608459   -4.96654952e+14   -1.00027024e-05
11.5526   4.16078197e+32   1.38295631   1.32377103e+14   -0.656699297   1.54689298   0.07833464   1866.47042   189.567789   61.7564538   53.0735386   0.00259188119   0.0700141772   951.478472   -5.13784301e+14   -1.04701551e-05
11.5551   4.09026313e+32   1.38323412   1.31071112e+14   -0.656738282   1.54687986   0.0775647874   1936.0672   221.867328   64.0271661   55.2794898   0.00256512456   0.0683256434   951.365789   -5.30905201e+14   -1.09273749e-05
11.5576   4.02047729e+32   1.38350926   1.29722577e+14   -0.656777257   1.5468651   0.0767697976   1978.1159   247.106759   65.3767949   56.5921649   0.00253724431   0.0668387667   951.26661   -5.47581989e+14   -1.13627777e-05
11.5601   3.95144644e+32   1.38378162   1.28333202e+14   -0.656816224   1.54684865   0.0759506702   1989.66313   264.755449   65.7096672   56.9160912   0.00250831067   0.0655085851   951.177849   -5.63321656e+14   -1.17634288e-05
11.5626   3.88319129e+32   1.38405112   1.26905969e+14   -0.656855181   1.54683047   0.0751091586   1967.82621   274.460252   64.9336783   56.1610594   0.00247842717   0.0642985583   951.097024   -5.77618727e+14   -1.21162391e-05
11.5651   3.8157306e+32   1.38431769   1.25445109e+14   -0.656894128   1.5468105   0.0742477536   1923.69418   279.829906   63.4185238   56.4828423   0.00244772947   0.0631796218   951.02217   -5.90005906e+14   -1.24093383e-05
11.5676   3.74908054e+32   1.38458126   1.2395594e+14   -0.656933066   1.5467887   0.0733695875   1878.40808   282.400716   61.8641698   56.4901165   0.00241638048   0.0621292631   950.951769   -6.00108633e+14   -1.26335217e-05
11.5701   3.68325421e+32   1.38484176   1.22444566e+14   -0.656971994   1.54676505   0.0724782572   1762.89782   271.808154   58   53.7969582   0.00238456186   0.0611305715   950.884678   -6.07694812e+14   -1.27835128e-05
11.5726   3.61826131e+32   1.38509917   1.20917465e+14   -0.657010913   1.54673951   0.0715775818   1764.7461   277.865426   58   54.6422891   0.00235246291   0.0601712542   950.820062   -6.12705606e+14   -1.28586876e-05
11.5751   3.55410814e+32   1.38535344   1.19381038e+14   -0.657049821   1.54671208   0.0706713339   1766.57895   282.970953   58   55.2870721   0.00232026842   0.0592426565   950.757331   -6.15266522e+14   -1.28632178e-05
11.5776   3.49079769e+32   1.38560456   1.17841133e+14   -0.65708872   1.54668273   0.0697629646   1768.35328   287.364089   58   55.7845277   0.00228814682   0.0583388171   950.696071   -6.15661943e+14   -1.28053024e-05
11.5801   3.42833003e+32   1.38585253   1.16302728e+14   -0.657127608   1.54665148   0.0688554099   1770.02907   291.219743   58   56.1726537   0.00225624191   0.0574556664   950.635999   -6.14222106e+14   -1.2694513e-05
11.5826   3.36670275e+32   1.38609735   1.14770022e+14   -0.657166487   1.54661832   0.0679511488   1221.77255   202.779326   40   38.51379   0.00222467426   0.0565905418   950.576922   -6.11297406e+14   -1.25409788e-05
11.5851   3.30591151e+32   1.38633904   1.13246241e+14   -0.657205355   1.54658326   0.0670520851   1222.72083   204.999164   40   38.7483836   0.00219353702   0.055741617   950.518707   -6.07271914e+14   -1.23554302e-05
11.5876   3.24595052e+32   1.38657761   1.11733663e+14   -0.657244212   1.54654633   0.0661595656   1223.53607   207.029587   40   38.9381871   0.00216289711   0.0549075584   950.461253   -6.02499319e+14   -1.21476987e-05
11.5901   3.18681298e+32   1.38681309   1.10233744e+14   -0.657283059   1.54650752   0.0652744516   1224.20286   208.90453   40   39.0931046   0.00213279853   0.0540873141   950.404478   -5.972602e+14   -1.19257704e-05
11.5926   3.12849147e+32   1.3870455   1.08747362e+14   -0.657321896   1.54646687   0.0643972624   1224.70849   210.648184   40   39.220608   0.00210326826   0.0532800396   950.348314   -5.91774402e+14   -1.16960271e-05
11.5951   3.07097827e+32   1.38727487   1.07274872e+14   -0.657360721   1.54642438   0.0635282107   1225.04262   212.277923   40   39.3263831   0.00207431839   0.0524849783   950.292701   -5.86221638e+14   -1.14636847e-05
11.5976   3.01426557e+32   1.38750123   1.05816254e+14   -0.657399536   1.54638007   0.0626672856   1225.19692   213.806286   40   39.4147893   0.00204594983   0.0517014294   950.237579   -5.80727773e+14   -1.12325629e-05
11.6001   2.95834564e+32   1.3877246   1.04371233e+14   -0.65743834   1.54633397   0.0618143282   1225.16478   215.242375   40   39.4891942   0.00201815558   0.0509287411   950.182896   -5.75381885e+14   -1.10054791e-05
11.6026   2.90321096e+32   1.387945   1.02939344e+14   -0.657477133   1.54628609   0.0609690645   1224.94103   216.592881   40   39.5522225   0.00199092244   0.0501662865   950.128598   -5.70244443e+14   -1.07844639e-05
11.6051   2.84885427e+32   1.38816247   1.01520011e+14   -0.657515915   1.54623644   0.0601311567   1224.52171   217.86277   40   39.6059351   0.00196423326   0.0494134734   950.074634   -5.65339829e+14   -1.05706754e-05
11.6076   2.79526863e+32   1.38837702   1.00112645e+14   -0.657554685   1.54618505   0.0593002588   1223.90394   219.055731   40   39.6519621   0.00193806906   0.0486697674   950.020958   -5.60682092e+14   -1.03649328e-05
11.6101   2.74244746e+32   1.38858868   9.87166006e+13   -0.657593444   1.54613192   0.0584759911   1223.08572   220.174609   40   39.6916054   0.00191240859   0.0479346513   949.967522   -5.56281282e+14   -1.01678668e-05
11.6126   2.69038446e+32   1.38879747   9.73312386e+13   -0.657632192   1.54607708   0.0576579775   1222.0659   221.221612   40   39.7259117   0.00188722973   0.0472076457   949.914284   -5.52119563e+14   -9.97950827e-06
11.6151   2.6390737e+32   1.38900341   9.59560028e+13   -0.657670928   1.54602053   0.0568458908   1220.8441   222.198451   40   39.7557271   0.00186251105   0.04648834   949.861203   -5.48179189e+14   -9.79982862e-06
11.6176   2.58850953e+32   1.38920651   9.45903427e+13   -0.657709653   1.54596229   0.056039407   1219.42062   223.106546   40   39.7817427   0.00183823058   0.045776345   949.80824   -5.44450169e+14   -9.62889011e-06
11.6201   2.53868656e+32   1.3894068   9.3233752e+13   -0.657748366   1.54590236   0.0552382283   1217.79641   223.947094   40   39.804526   0.0018143666   0.0450713086   949.75536   -5.409013e+14   -9.46633906e-06
11.6226   2.48959965e+32   1.38960429   9.18858362e+13   -0.657787067   1.54584077   0.0544421223   1215.97311   224.721107   40   39.824545   0.00179089889   0.0443729473   949.702531   -5.37507143e+14   -9.31189697e-06
11.6251   2.44124387e+32   1.389799   9.05462163e+13   -0.657825756   1.54577752   0.0536508663   1213.95294   225.429528   40   39.8421893   0.00176780711   0.0436809937   949.649722   -5.34250001e+14   -9.16539815e-06
